avg_dependability,no_of_communities,clustering_method,foresight
0.8787517796418236,5,EM,50% ahead
0.8684569884216495,5,EM,40% ahead
0.892405243731053,5,EM,30% ahead
0.9049001371179978,5,EM,20% ahead
0.8550410899919753,6,EM,50% ahead
0.921523907086376,6,EM,40% ahead
0.8618784823136242,6,EM,30% ahead
0.8790502946329003,6,EM,20% ahead
0.8888373705756158,7,EM,50% ahead
0.8786298249060757,7,EM,40% ahead
0.8956721768839376,7,EM,30% ahead
0.9116268978878985,7,EM,20% ahead
0.8879159799660917,8,EM,50% ahead
0.8726389261400066,8,EM,40% ahead
0.91730402276322,8,EM,30% ahead
0.9316131492648243,8,EM,20% ahead
0.8955280519759246,5,HMM,50% ahead
0.8753700132798895,5,HMM,40% ahead
0.897697907382741,5,HMM,30% ahead
0.8753628325550806,5,HMM,20% ahead
0.8952526355942544,6,HMM,50% ahead
0.8825227183821904,6,HMM,40% ahead
0.8625300097214158,6,HMM,30% ahead
0.8737478879112883,6,HMM,20% ahead
0.8698600401972468,7,HMM,50% ahead
0.8553899108842349,7,HMM,40% ahead
0.8585492589948007,7,HMM,30% ahead
0.9057739097451765,7,HMM,20% ahead
0.8784804345398756,8,HMM,50% ahead
0.892304434248606,8,HMM,40% ahead
0.898172924396593,8,HMM,30% ahead
0.9301157712909485,8,HMM,20% ahead
0.8904742213989595,5,KM,50% ahead
0.8828928469138907,5,KM,40% ahead
0.8635588026365816,5,KM,30% ahead
0.879887661572702,5,KM,20% ahead
0.8739607792340376,6,KM,50% ahead
0.9020072805043684,6,KM,40% ahead
0.8668406491912523,6,KM,30% ahead
0.891548247186525,6,KM,20% ahead
0.8449542157659393,7,KM,50% ahead
0.8760380720077833,7,KM,40% ahead
0.8475268466657161,7,KM,30% ahead
0.8896016501810668,7,KM,20% ahead
0.8670639827063695,8,KM,50% ahead
0.9024963373323828,8,KM,40% ahead
0.8721137130617476,8,KM,30% ahead
0.8980158542846156,8,KM,20% ahead
